Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
californica,,,E 7698,118.75,19.26,12.49,7.53,5.26,19.44,10.77,9.62,,,Rancho La Brea,L,adult,,,,
californica,,,E 6577,112.64,17.61,10.97,6.55,4.73,18.49,9.58,8.37,,,Rancho La Brea,L,adult,,,,
californica,,,E 7217,116.33,18.59,11.99,6.93,5.02,18.49,10.59,9.34,,,Rancho La Brea,L,adult,,,,
californica,,,E 7414,110.96,17.86,10.95,6.7,4.53,17.67,9.94,8.59,,,Rancho La Brea,L,adult,,,,
californica,,,E 5765,118.17,19.3,11.59,7.26,4.91,19.6,10.89,9.64,,,Rancho La Brea,L,adult,,,,
californica,,,E 8523,117.92,19.28,11.49,7.37,5.09,19.33,10.49,9.39,,,Rancho La Brea,L,adult,,,,
californica,,,G 6017,119.25,19.1,11.83,6.96,4.93,18.65,10.47,8.94,,,Rancho La Brea,L,adult,,,,
californica,,,E 8256,119.22,,11.7,7.04,5.16,20.07,10.21,9.14,,,Rancho La Brea,L,adult,,,,
californica,,,E 5657,112.64,19.81,11.65,7.35,5.19,19.33,10.9,9.71,,,Rancho La Brea,L,adult,,,,
californica,,,E 5950,116.51,,11.48,6.53,4.51,18.3,10.21,9.24,,,Rancho La Brea,L,adult,,,,
californica,,,E 5794,113.3,17.74,10.81,6.52,4.82,18.44,10.77,9.15,,,Rancho La Brea,L,adult,,,,
californica,,,E 7300,111.65,18.21,11.08,6.61,4.6,17.73,10.45,9.12,,,Rancho La Brea,L,adult,,,,
californica,,,E 7696,121.35,19.22,,7.39,4.94,19.85,9.98,9.95,,,Rancho La Brea,L,adult,,,,
californica,,,E 6800,118.49,18.09,11.07,7.03,4.37,17.2,10.04,,,,Rancho La Brea,L,adult,,,,
californica,,,E 5374,114.87,18.53,11.73,7.48,4.74,19.18,10.44,9.32,,,Rancho La Brea,L,adult,,,,
californica,,,E 6807,112.82,18.08,11.85,6.8,4.79,18.44,10.77,9.54,,,Rancho La Brea,L,adult,,,,
californica,,,G 5999,118.28,18.47,11.48,7.13,5.02,19.42,10.52,8.83,,,Rancho La Brea,L,adult,,,,
californica,,,E 5634,111.24,,10.78,6.76,4.42,18.48,9.92,8.64,,,Rancho La Brea,L,adult,,,,
californica,,,E 6933,115.73,19.4,12.33,7.52,4.9,19.4,10.96,9.77,,,Rancho La Brea,L,adult,,,,
californica,,,E 8359,109.94,17.92,11.31,6.92,4.65,18.25,9.77,8.86,,,Rancho La Brea,L,adult,,,,
californica,,,E 6654,122.4,18.71,11.4,7.18,5.29,19.36,10.35,9.5,,,Rancho La Brea,L,adult,,,,
californica,,,E 8577,115.78,18.34,11.69,7.31,5.04,18.2,10.76,9.34,,,Rancho La Brea,L,adult,,,,
californica,,,E 6846,120.63,17.27,10.79,7.32,4.72,18.12,10.06,8.98,,,Rancho La Brea,L,adult,,,,
californica,,,E 7919,120.74,18.71,11.94,7.7,5.35,,,9.46,,,Rancho La Brea,L,adult,,,,
californica,,,E 5330,111.62,17.49,11.36,6.5,4.54,17.87,9.91,8.55,,,Rancho La Brea,L,adult,,,,
californica,,,E 8366,116.94,18.69,12.02,7.23,5.02,19.5,10.1,9.37,,,Rancho La Brea,L,adult,,,,
californica,,,E 5791,119.21,18.46,11.49,7.1,4.97,18.51,10.14,9.22,,,Rancho La Brea,L,adult,,,,
californica,,,E 6473,110.59,18.63,11.75,7.21,4.86,17.95,9.69,8.83,,,Rancho La Brea,L,adult,,,,
californica,,,E 6777,113.63,,11.15,6.72,4.21,17.63,10.13,8.94,,,Rancho La Brea,L,adult,,,,
californica,,,E 6696,117.75,18.04,11.42,7.18,4.9,18.12,10.14,9.17,,,Rancho La Brea,L,adult,,,,
californica,,,E 6200,114.86,17.64,11.13,7.15,4.86,18.88,10.77,9.45,,,Rancho La Brea,L,adult,,,,
californica,,,E 8123,110.19,,10.58,6.62,4.63,17.56,9.52,8.66,,,Rancho La Brea,L,adult,,,,
californica,,,E 6152,114.55,,10.99,6.41,4.54,18.91,9.87,9,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,G 6280,111.61,18.32,11.11,6.88,5.05,18.3,9.82,9.27,,,Rancho La Brea,L,adult,,,,
californica,,,E 6084,116.46,18.19,11.67,6.9,4.73,18.57,10.56,9.07,,,Rancho La Brea,L,adult,,,,
californica,,,E 6798,118.58,19.01,12.09,7.08,4.93,19.12,10.82,9.27,,,Rancho La Brea,L,adult,,,,
californica,,,E 6645,114.66,17.74,10.36,6.98,4.8,18.31,10.21,8.94,,,Rancho La Brea,L,adult,,,,
californica,,,E 5972,111.8,18.8,11.14,6.23,4.67,18.23,9.95,8.77,,,Rancho La Brea,L,adult,,,,
californica,,,K 3092,120.34,18.36,11.84,6.68,4.54,19.25,9.67,9.53,,,Rancho La Brea,L,adult,,,,
californica,,,E 7058,115,18.19,11.06,7.13,4.86,,,9.1,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 8494,117.31,19.49,11.83,7.35,4.7,19.68,10.06,9.48,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7744,115.64,18.34,11.2,7.26,4.66,19.44,10.21,9.03,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 6516,112.43,17.08,10.61,6.24,4.37,18.04,9.56,8.57,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 8242,114.01,18.03,10.74,6.87,4.76,18.52,10.38,,,,Rancho La Brea,L,imm?,,Measurements OK,,
californica,,,E 7453,112.91,17.87,11.41,6.7,4.52,18.4,9.92,8.73,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7125,118.86,17.89,11.21,,4.42,17.81,9.64,8.79,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 8514,114.27,17.77,10.91,6.85,4.41,,,9.12,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7976,116.41,,10.83,6.66,4.7,19.24,10.15,9.25,,,Rancho La Brea,L,adult,,,,
californica,,,E 7307,113.65,17.25,10.58,6.46,4.36,18.11,9.37,8.82,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7844,120.94,18.42,,7.17,4.67,19.77,,9.06,,,Rancho La Brea,L,adult,,,,
californica,,,E 8338,114.83,18.02,11.03,6.5,4.36,19.1,10.06,9.08,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 6971,116.27,17.54,11.12,6.63,4.63,18.15,10.78,9.21,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7778,119.35,18.75,,6.93,4.68,18.84,10.24,9.12,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 5900,118.07,17.8,11.17,6.93,4.47,19.67,10.68,9.44,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 5428,113.97,17.58,11.52,6.98,4.66,18.33,10.11,9.13,,,Rancho La Brea,L,adult,,,,
californica,,,E 7148,120.91,18.7,11.59,7.36,4.74,18.73,10.3,9.43,,,Rancho La Brea,L,adult,,,,
californica,,,E 6895,112.3,17.98,11.36,6.8,4.47,19.04,10.2,9.26,,,Rancho La Brea,L,adult,,,,
californica,,,E 7898,120.29,19.44,11.87,7.17,4.89,19.26,10.97,9.96,,,Rancho La Brea,L,adult,,,,
californica,,,E 6587,114.89,,10.9,6.45,4.16,18.14,10.14,8.82,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 6034,115.03,18.35,11.89,6.64,4.68,18.08,10.86,9.27,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 6664,114.46,18.28,11.79,6.51,4.71,17.46,10.35,8.66,,,Rancho La Brea,L,adult,,,,
californica,,,E 7138,107.45,17.52,10.92,6.32,4.57,17.3,9.46,8.93,,,Rancho La Brea,L,adult,,,,
californica,,,E 8158,112.87,18.31,11.37,6.5,4.44,18.93,10.49,9.22,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,C 9153,117.59,,10.87,,4.34,18.03,10.59,9.2,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 6866,111.94,,10.7,6.46,4.58,18.59,10.88,9.08,,,Rancho La Brea,L,imm (prox part spongy),,Measurements probably OK,No spur,
californica,,,E 7712,111.85,,10.52,6.9,4.57,18.93,10.23,9,,,Rancho La Brea,L,adult,,,,
californica,,,E 6824,120.82,18.64,12.16,6.89,4.71,18.74,10.26,9.88,,,Rancho La Brea,L,adult,,,,
californica,,,E 7434,113.11,,,6.82,4.75,18.99,10.67,9.44,,,Rancho La Brea,L,adult,,,,
californica,,,E 7251,124.33,19.63,12.54,7.73,5.3,20.03,11.84,9.93,,,Rancho La Brea,L,adult,,,,
californica,,,E 5905,116.48,17.73,11.68,7.35,4.86,18.74,10.35,8.97,,,Rancho La Brea,L,adult,,,,
californica,,,G 6016,122.48,18.24,11.71,6.98,4.7,18.19,10.53,9.04,,,Rancho La Brea,L,adult,,,,
californica,,,E 8524,114.06,17.6,11.41,7.2,4.75,,,9.33,,,Rancho La Brea,L,adult,,,,
californica,,,E 7185,117.67,19.06,11.59,7.02,5.05,18.82,10,9.75,,,Rancho La Brea,L,adult,,,,
californica,,,E 6581,119.41,17.82,11.55,7.04,4.77,18.92,10.46,9.41,,,Rancho La Brea,L,adult,,,,
californica,,,E 6707,117.94,18.43,10.91,6.88,4.53,18.7,10.16,9.09,,,Rancho La Brea,L,adult,,,,
californica,,,E 7869,115.2,18.51,12.02,6.92,5.15,,,9.77,,,Rancho La Brea,L,adult,,,,
californica,,,E 7536,119.07,18.47,11.52,6.97,4.87,,,8.31,,,Rancho La Brea,L,adult,,,,
californica,,,E 6165,108.1,17.1,10.47,6.26,4.47,17.13,9.33,8.2,,,Rancho La Brea,L,imm?,,Measurements OK,,
californica,,,E 8086,,19.66,11.57,7.09,4.86,,,,,,Rancho La Brea,L,adult,,,,
californica,,,E 7870,125.8,,11.12,7.93,5.22,,,9.44,,,Rancho La Brea,L,adult,,,,
californica,,,E 7438,,17.95,11.29,6.73,4.64,,,,,,Rancho La Brea,L,imm?,,Measurements OK,,
californica,,,E 5782,,18.89,11.47,7.19,4.84,,,,,,Rancho La Brea,L,adult,,,,
californica,,,K 935,116.01,18.24,11.88,7.07,4.78,,,9,,,Rancho La Brea,L,adult,,,,
californica,,,G 5982,116.8,19.3,12.03,7.42,5.06,19.95,10.82,9.67,,,Rancho La Brea,L,adult,,,,
californica,,,E 5884,115.49,18.15,12.24,6.63,4.71,18.54,10.6,9.17,,,Rancho La Brea,L,adult,,,,
californica,,,E 5039,118.68,17.91,11.35,7.64,4.78,18.51,9.75,,,,Rancho La Brea,L,adult,,,,
californica,,,G 6210,,18.91,11.52,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5946,,18.15,11.63,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6222,,17.53,10.79,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6270,,18.61,11.27,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6189,,22.45,14.38,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,G 5955,,21.65,13.94,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8573,,18.27,11.19,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7484,,18.87,12,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7262,,,10.54,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8418,,22.41,13.83,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 745,,17.95,10.85,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5985,,18.32,,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5987,,18.24,11.28,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5953,,20.63,12.72,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6083,,17.87,10.58,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5721,,18.78,11.24,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5922,,18.31,11.7,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7571,,18.11,11.63,6.92,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7617,,22.27,13.51,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7409,,16.93,11.34,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8557,,18.94,11.95,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5940,,20.78,12.71,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5129,,18.92,12.37,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7684,,18.19,11.59,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7302,,18.38,11.31,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7249,,18.49,11.47,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6192,,22.16,13.75,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5988,,22.83,14.09,9.13,,,,,,18.28,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6245,,22.02,13.8,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5983,,20.19,13.04,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5899,,20.99,13.55,,,,,,,19.01,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6733,,17.84,11.32,7.19,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6251,,,12.99,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8161,,20.42,12.77,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6046,,18.63,11.46,7.43,4.79,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6829,,17.87,11.38,7.23,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7158,,18.48,11.34,7.25,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8265,,,11.19,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5577,,22.39,13.96,8.35,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8349,,18.04,11.86,7.04,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6223,,20.09,12.95,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6956,,21.33,12.78,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5785,,,12.23,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8092,,22.56,13.78,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8382,,18.36,11.59,6.91,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8531,,18.01,10.89,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5929,,20.24,12.79,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5948,,20.15,13.13,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7017,,17.61,11.33,6.96,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6277,,17.38,,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5504,,22.21,14.1,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,E 7033,,19.07,12.11,,,,,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,G 5950,,17.81,10.91,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6260,,20.36,12.63,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5045,,18.81,12.04,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5515,,22.17,14.21,,,,,,,,imm (prox part spongy),,Measurements probably OK,,,,
californica,,,G 5920,,21.38,13.55,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 6760,,19.22,11.92,7.16,5.09,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5781,,18.89,11.77,7.51,4.93,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6163,,18.43,11.58,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7153,,18.49,11.79,6.57,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6208,,21.04,12.4,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6118,,17.68,11.58,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 733,,21.36,13.19,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5897,,22.55,13.84,9.08,,,,,,16.42,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 5622,,23.6,14.03,8.45,,,,,,18.46,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6214,,20.21,11.92,,,,,,,15.65,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 5932,,21.59,13.95,,,,,,,13.33,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface; top broken off,
californica,,,G 5933,,20.05,13.16,,,,,,,12.03,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,G 5951,,22.75,13.49,,,,,,,14.78,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 6453,,23.5,14.43,,,,,,,13.97,Rancho La Brea,R,adult,,,spur spongy,
californica,,,G 6245,,21.27,13.51,8.93,,,,,,17.08,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6215,,22.53,14.04,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 764,,22.02,13.14,,,,,,,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,E 8155,,22.69,14.47,,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 5094,,21.87,13.76,,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,G 6190,,22.24,14.19,9.17,,,,,,11.43,Rancho La Brea,R,adult,,,spur broken off,
californica,,,G 6268,,20.46,12.77,8.2,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 5436,,20.64,13.17,7.89,,,,,,16.79,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 5934,,22.05,14.19,,,,,,,13.98,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8596,,21.1,12.85,8,,,,,,15.3,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,G 5995,,,13.8,8.59,,,,,,17.3,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7172,,22.96,14.09,,,,,,,19.42,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6175,,21.28,,,,,,,,21.79,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 5931,,20.82,12.71,,,,,,,17.75,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6209,,21.84,13,,,,,,,13,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,E 8193,,22.75,13.83,8.78,,,,,,17.03,Rancho La Brea,R,adult,,,spur fully developed; top broken off,
californica,,,E 5438,,22.49,14.19,7.69,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6042,,21.64,13.67,8.5,,,,,,13.95,Rancho La Brea,R,adult,,,spur fully developed; top broken off,
californica,,,E 8205,,22.67,13.85,8.69,,,,,,21.45,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6011,,21.56,13.61,,,,,,,14.49,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 7377,,21.14,13.27,,,,,,,18.39,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6476,,20.19,13.24,,,,,,,15.96,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8450,,22.61,14.13,8.85,,,,,,16.17,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7968,,21.55,14.01,8.47,,,,,,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,E 7808,,22.88,14.74,9.36,,,,,,,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,G 5903,,21.81,13.27,,,,,,,21.65,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6178,,18.12,11.48,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6248,,21.73,13.57,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8213,,18.1,11.35,7.08,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6218,,17.78,11.45,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6426,,17.82,11.49,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6145,,17.74,11.26,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7155,,22.08,13.6,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7803,,20.7,12.77,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7016,,17.27,10.55,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7140,,18.03,10.99,6.6,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7435,,20.87,13.69,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8141,,22.78,14.74,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7576,,21.62,14,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6075,,18.43,11.13,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6255,,18.14,11.34,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7199,,21.02,13.84,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 8204,,18.33,11.39,7.02,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7384,,18.39,11.13,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,D 9840,,23.01,13.34,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7891,,18.38,11.79,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 7587,,22.72,14.01,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8659,,18.42,11.71,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 5143,,23.53,14.39,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8395,,19.02,11.84,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6030,,19.31,12.13,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8080,,21.98,13.51,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6002,,17.76,11.27,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6124,,19.58,13.46,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 5976,,17.94,11.66,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,G 6107,,20.85,13.32,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,E 8171,,22.88,14.7,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6153,,20.69,,,,,,,,17.86,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,K 6185,,21.96,14.79,8.53,,,,,,16.64,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,K 6096,,20.7,13.08,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6140,,17.14,11.1,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6093,,,10.79,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6102,,17.56,11.5,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6173,,18.59,11.47,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6084,,22.12,13.69,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6099,,18.79,11.43,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6179,,22.2,13.45,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6155,,21.66,12.75,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6142,117.58,18.05,11.19,6.93,4.69,,,9.18,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,K 6141,117.21,18.1,11.47,6.66,4.39,17.11,,8.23,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,K 6083,115.65,18.06,11.44,7.05,4.83,18.95,9.86,9.03,,,Rancho La Brea,R,adult,,,,
californica,,,K 6139,142.16,21.54,13.91,8.49,5.29,21.5,12.16,10.73,,,Rancho La Brea,R,adult,,,spur broken off?,
californica,,,K 6085,143.72,20.61,13.14,8.32,5.5,21.65,12.42,10.81,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,K 6174,,,,,4.97,18.89,10.27,9.49,,,Rancho La Brea,R,adult,,,,
californica,,,K 6181,,,,,4.95,18.27,10.07,9.33,,,Rancho La Brea,R,adult,,,,
californica,,,K 6175,,,,,4.54,18.65,10.25,9.76,,,Rancho La Brea,R,adult,,,,
californica,,,K 6160,,,,,5.84,23.22,12.35,11.25,,,Rancho La Brea,R,adult,,,,
californica,,,K 6090,,,,,4.75,19.18,10.4,9.53,,,Rancho La Brea,R,adult,,,,
californica,,,K 6172,,,,,4.61,18.77,10.2,9.42,,,Rancho La Brea,R,adult,,,,
californica,,,K 6159,,,,,4.92,18.33,9.86,8.93,,,Rancho La Brea,R,adult,,,,
californica,,,K 6088,,,,,4.97,18.54,10.39,9.11,,,Rancho La Brea,R,adult,,,,
californica,,,K 6109,,,,,5.8,21.55,12,11.02,63.4,13.11,Rancho La Brea,R,adult,,,spur broken off,
californica,,,K 6094,,,,,5.14,22.21,11.28,10.65,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,K 6086,,,,,5.54,21.01,12.32,9.85,,,Rancho La Brea,R,adult,,,,
californica,,,K 6082,,,,,5.12,18.59,10.17,9.16,,,Rancho La Brea,R,adult,,,,
californica,,,K 6103,,,,,4.66,17.44,9.84,8.92,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,K 6104,,,,,5.72,22.06,11.88,10.91,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,K 6144,,,,,4.83,18.41,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 6092,,,,,5.48,21.81,12.85,10.61,,,Rancho La Brea,R,adult,,,,
californica,,,K 6143,,,,,5.27,20.64,11.6,10.6,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,K 6110,,,,,4.79,19.9,10.9,10.21,66.45,11.56,Rancho La Brea,R,adult,,,spur spongy,
californica,,,G 6230,,,,,4.61,18.15,9.75,9.09,,,Rancho La Brea,R,adult,,,,
californica,,,K 734,,,,,4.58,19.51,10.37,9.16,,,Rancho La Brea,R,imm?,,Measurements probably OK,,
californica,,,K 764,,,,,5.74,23.14,12.21,10.54,67.06,16.9,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,G 6279,,,,,5.83,23.16,12.89,11.43,,,Rancho La Brea,R,adult,,,,
californica,,,K 769,,,,,5.3,19.39,10.52,9.69,,,Rancho La Brea,R,adult,,,,
californica,,,G 6166,,,,,6.06,23.26,12.41,11.14,,,Rancho La Brea,R,adult,,,,
californica,,,K 767,,,,,4.63,18.22,9.74,8.77,,,Rancho La Brea,R,adult,,,,
