Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
gallopavo,mexicana,m,112425,168.4,25.81,15.84,9.79,6.83,26.74,14.23,11.94,74.43,14.75,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,spur spongy,
gallopavo,mexicana,m,112427,,,,,,,,,,,Mexico,?,adult,NHM LA,,,
gallopavo,mexicana,m,112432,170.5,26.15,16.14,10.22,6.72,27,14.45,13.25,71.8,11.87,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,spur spongy,
gallopavo,mexicana,m,112451,147.46,21.96,13.38,8.55,6.81,23.24,12.64,11.02,,,"Mexico: Sonora, Yecora",spring 2003,adult,NHM LA,,No spur!,
gallopavo,mexicana,m?,112428,,,,,,,,,,,Mexico,?,adult,NHM LA,,,
gallopavo,osceola,f,112151,,,,,,,,,,,Florida: Polk Co,21-Sep-2002,imm (all bones clearly unossified),NHM LA,,,
gallopavo,osceola,f,112355,131.61,19.29,11.34,7.27,4.78,18.85,9.66,9.26,,,Florida: Polk Co,20-Sep-2002,adult,NHM LA,,,
gallopavo,osceola,f,112426,134.81,19.23,11.65,7.7,5.26,18.41,10.04,9.36,,,Florida: Palm Beach Co,spring 2002,adult,NHM LA,,,
gallopavo,osceola,f,112430,137.78,19.58,11.9,7.89,5.14,18.47,10.35,8.72,,,Florida: St. Johns Co,11-13 December 2002,adult,NHM LA,,,
gallopavo,osceola,m,112152,170.5,23.54,14.31,9.65,5.76,23.3,13.58,11.51,69.75,,Florida: Osceola Co,23-Mar-2002,adult,NHM LA,,spur=little bump,
gallopavo,osceola,m,112153,163.7,23.44,13.77,8.87,,22.04,12.66,10.53,64.37,21.49,Florida: Osceola Co,24-Mar-2002,adult,NHM LA,,spur fully developed,
gallopavo,osceola,m,112154,167.65,24.47,14.31,8.66,6.12,21.56,12.53,10.98,75.18,21.06,Florida: Lake Co,22-Mar-2002,adult,NHM LA,,spur fully developed,
gallopavo,osceola,m,112155,170.6,23.71,14.33,8.92,5.69,23.02,12.92,11.92,73.3,,Florida: Lake Co,23-Mar-2002,adult,NHM LA,,spur=little bump,
gallopavo,osceola,m,112156,166.45,22.25,14.15,8.3,5.51,21.56,11.94,11.02,77.33,15.91,Florida,2002,adult,NHM LA,,spur fully developed,
gallopavo,silvestris,f,112315,124.2,19.34,11.94,6.85,4.66,19.45,10.79,9.77,,,New Hapshire: Cheshire Co,?,adult,NHM LA,,,
gallopavo,silvestris,f,112318,130.88,19.76,11.73,7.24,5.19,18.45,10.52,8.96,,,Georgia:,?,adult,NHM LA,,,
gallopavo,silvestris,f,112417,127.56,20.57,12.91,7.54,5.29,19.37,11.31,9.42,,,New Hampshire: Cheshire Co,?,adult,NHM LA,,,
gallopavo,silvestris,f,112418,133.31,21.17,12.84,7.94,5.9,20.8,11.3,9.85,,,"New Hampshire: Cheshire Co, Richmond",23-Sep-95,adult,NHM LA,,,
gallopavo,silvestris,m,112162,165.15,23.87,14.09,8.11,6.26,22.7,13.69,11.74,65.76,16.15,"South Carolina: Allendale Co, Martin",15-Mar-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,silvestris,m,112163,172.9,25.67,15.91,9.74,6.53,24.97,13.03,11.95,77.23,17.13,Kansas: Marshall Co,16-Apr-2002,adult,NHM LA,,spur fully developed,
