Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B3595,3,15000,116.2,29.5,21.9,14.8,9.4,31.8,20.5,646.1,139.1,651.9
B3601,3,15000,121.7,28.6,24.4,14.1,9.6,31.5,21.9,697.8,135.4,689.9
B3604,3,15000,114.9,28.8,21.5,14.8,9.6,31.1,21.2,619.2,142.1,659.3
B3651,3,15000,115.6,26.5,20.4,14.8,10.1,30.9,18.2,540.6,149.5,562.4
B3654,3,15000,118.8,29.5,23.9,15.4,9.3,31.8,20.4,705.1,143.2,648.7
B3655,3,15000,122.4,28.3,23.2,14.5,9.3,31.3,20.6,656.6,134.9,644.8
B3656,3,15000,119.1,28.7,22.9,15.8,9.2,32.1,22.3,657.2,145.4,715.8
B3664,3,15000,117.3,27.1,21.8,14.3,9.1,29.8,20.8,590.8,130.1,619.8
B3682,3,15000,115.5,27.1,21.2,14.5,9.7,30.6,20.5,574.5,140.7,627.3
B3683,3,15000,121.2,28.8,22.1,15.2,9.5,31.4,20.8,636.5,144.4,653.1
B3751,3,15000,119.3,27.3,22,14.6,9,30.3,19.6,600.6,131.4,593.9
B3761,3,15000,119.9,27.6,21.9,14.2,10.3,30.9,19.5,604.4,146.3,602.6
B3781,3,15000,114,25.4,22,12.7,8.4,29.4,19.1,558.8,106.7,561.5
B3875,3,15000,116,27.9,23.1,14.2,9.2,31.4,19.5,644.5,130.6,612.3
B3879,3,15000,117.2,27.4,22,15.2,9.5,31,21.4,602.8,144.4,663.4
B3892,3,15000,123,29.5,23.7,14.6,10.7,32,21.1,699.2,156.2,675.2
B3893,3,15000,116.1,27.9,22.6,15.4,10,31.2,20.7,630.5,154,645.8
B4040,3,15000,118.8,25.5,21.1,14.7,8.8,30,17.6,538.1,129.4,528
B4046,3,15000,121.5,26.6,23,14.7,9.5,31.5,21.5,611.8,139.7,677.3
B4133,3,15000,117.2,27.6,23,13.7,7.9,31.6,19.6,634.8,108.2,619.4
B4140,3,15000,114.1,27.1,21.4,14.3,9,29.3,20.1,579.9,128.7,588.9
B4282,3,15000,116.2,27.5,23,15.3,9.5,31,19.1,632.5,145.4,592.1
B4290,3,15000,121.4,30.2,21.6,16.6,9.2,33.7,20.7,652.3,152.7,697.6
B4346,3,15000,124.5,30.3,24,15.6,10.5,33.3,22.2,727.2,163.8,739.3
B4384,3,15000,116.8,28.1,20.5,15.8,10.1,31.6,19.2,576.1,159.6,606.7
B8009,3,15000,122.5,28.2,22.6,14.6,9.8,31.5,19.3,637.3,143.1,608
B8184,3,15000,118.7,28.8,22.9,15.4,9.5,32.1,21.4,659.5,146.3,686.9
B240,4,Unk,115.5,28.9,23,15.3,9.6,31.9,22,664.7,146.9,701.8
B284,4,Unk,130.8,30,23.2,14.9,9.7,32.9,22.2,696,144.5,730.4
B311,4,Unk,125.5,29.1,23.5,14.7,9.6,32.8,21.4,683.9,141.1,701.9
B4409,4,Unk,125.3,28.6,20.3,14.2,9.5,31.5,18.9,580.6,134.9,595.4
B4601,4,Unk,116.1,29,22.7,15.3,9.7,32,20.7,658.3,148.4,662.4
B4610,4,Unk,117.9,28.3,21.4,15.7,9.7,30.7,20.6,605.6,152.3,632.4
B4619,4,Unk,122.2,29.9,22.5,15.1,10.5,32.6,21.5,672.8,158.6,700.9
B4658,4,Unk,118.5,28.6,20.5,15.8,9.8,30.5,20.6,586.3,154.8,628.3
B4685,4,Unk,120.9,28.8,23.1,14.5,10.2,31.8,20.5,665.3,147.9,651.9
B4776,4,Unk,116.3,28.4,26.7,14.7,8.8,31,20.4,758.3,129.4,632.4
B4851,4,Unk,117.7,27.7,22.1,15,9.5,30.9,20.3,612.2,142.5,627.3
B5019,4,Unk,120.6,28.5,24.2,14.7,10.3,31.9,21.1,689.7,151.4,673.1
B5070,4,Unk,121.6,28.2,20.9,14.7,10.3,31.1,20.9,589.4,151.4,650
B5108,4,Unk,122,27.4,23,14.3,9.8,32.4,21.1,630.2,140.1,683.6
B5109,4,Unk,120.2,27.9,23.3,14.3,9.7,32.4,21.3,650.1,138.7,690.1
