PIT #,LENGTH,PROX.W,PROX.D,PROX.A,MID.W,MID.D,MID.A,DIST.W,DIST.D,DIST.A
16,89.35,14.48,7.35,106.428,5.45,4.72,25.724,14.75,9.67,142.6325
16,90.6,13.87,6.88,95.4256,4.85,4.08,19.788,13.88,8.82,122.4216
16,91.77,12.98,7.61,98.7778,5.8,4.76,27.608,14.7,9.18,134.946
16,84.58,14.23,7.29,103.7367,5.75,4.76,27.37,14.58,9.06,132.0948
16,90.88,14.25,8.04,114.57,5.19,4.58,23.7702,15.44,9.31,143.7464
16,84.57,13.44,8,107.52,5.31,4.76,25.2756,14.01,9.19,128.7519
16,88.16,14.24,7.2,102.528,5.72,4.83,27.6276,14.51,8.95,129.8645
16,85.99,13.61,6.81,92.6841,4.84,3.79,18.3436,13.84,8.83,122.2072
16,90.38,13.57,6.4,86.848,5.3,4.4,23.32,13.96,8.58,119.7768
16,87.28,13.67,7.31,99.9277,5.51,4.56,25.1256,14.29,8.82,126.0378
16,87.86,14.67,7.72,113.2524,5.47,4.74,25.9278,,7.85,
16,83.4,13.94,7.66,106.7804,5.17,4.43,22.9031,14.28,8.62,123.0936
16,84.92,14.86,7.7,114.422,5.66,4.58,25.9228,14.59,9.6,140.064
16,89.6,14.82,7.4,109.668,5.6,4.46,24.976,14.81,8.99,133.1419
16,91.7,14.3,7.31,104.533,5.71,5.03,28.7213,14.53,9.1,132.223
16,89.9,13.84,7.39,102.2776,5.48,4.63,25.3724,14.89,9.15,136.2435
16,89.58,13.62,7.13,97.1106,5.18,4.13,21.3934,14.21,8.36,118.7956
16,87.03,14.15,7.27,102.8705,5.42,4.47,24.2274,14.57,8.85,128.9445
16,91.62,13.49,7.31,98.6119,5.19,4.65,24.1335,13.7,7.28,99.736
16,91.32,13.49,8.06,108.7294,5.82,4.87,28.3434,14.93,9.01,134.5193
16,87.02,13.5,6.73,90.855,5.64,4.21,23.7444,13.74,8.18,112.3932
16,86.04,11.69,5.28,61.7232,4.71,3.66,17.2386,13.15,6.32,83.108
16,87.69,13.35,6.82,91.047,5.82,4.95,28.809,13.93,7.97,111.0221
16,88.39,12.65,4.44,56.166,5.33,4.03,21.4799,13.71,7.44,102.0024
16,88.59,14.14,7.42,104.9188,5.27,4.44,23.3988,14.5,8.74,126.73
16,90.95,13.33,7.18,95.7094,6.19,5,30.95,12.11,8.82,106.8102
16,88.22,11.66,5.83,67.9778,3.71,3.71,13.7641,11.47,7.17,82.2399
16,84.48,12.55,6.6,82.83,5.38,4.17,22.4346,12.2,8.23,100.406
16,89.51,14.88,7.83,116.5104,5.6,4.38,24.528,14.43,9.61,138.6723
16,82.81,14.37,7.57,108.7809,5.76,4.81,27.7056,13.86,8.86,122.7996
16,94.08,12.86,7.28,93.6208,5.54,4.59,25.4286,14.47,7.86,113.7342
16,91.4,13.87,6.76,93.7612,5.41,4.52,24.4532,13.45,8.23,110.6935
16,91.71,14.19,7.67,108.8373,5.65,4.3,24.295,13.12,8.76,114.9312
16,89.8,12.72,7.01,89.1672,5.14,4.66,23.9524,14.54,8.67,126.0618
16,87.64,13.85,7.28,100.828,5.55,4.11,22.8105,14.12,8.37,118.1844
28,88.29,13.54,7.75,104.935,5.41,4.56,24.6696,14.1,9.19,129.579
36,85.88,13.59,7.01,95.2659,5.09,4.53,23.0577,14.07,7.69,108.1983
60,88.94,14.44,7.78,112.3432,5.64,4.73,26.6772,14.85,9.62,142.857
60,92.4,12.98,7.02,91.1196,5.25,4.78,25.095,14.51,9.07,131.6057
60,87.65,10.19,6.88,70.1072,5.31,4.58,24.3198,14.04,8.74,122.7096
61,84.09,14.29,7.31,104.4599,4.71,4.96,23.3616,13.38,7.01,93.7938
61,87.4,14.06,8.14,114.4484,5.88,4.81,28.2828,14.51,9,130.59
61,89.21,13.55,7.27,98.5085,4.89,3.97,19.4133,14.19,8.25,117.0675
61,88.82,,,,,,,,,
61,86.41,12.46,6.48,80.7408,4.97,3.93,19.5321,13.34,7.11,94.8474
67,89.83,13.07,6.77,88.4839,5.45,4.75,25.8875,14.08,8.34,117.4272
67,85.31,13.38,7.23,96.7374,5.14,4.01,20.6114,14.04,8.71,122.2884
67,85.54,12.95,6.96,90.132,4.94,3.97,19.6118,13.93,7.43,103.4999
77,86.89,13.24,6.66,88.1784,4.61,4.39,20.2379,13.89,8.35,115.9815
77,89.9,13.25,7.45,98.7125,5.25,4.59,24.0975,13.92,8.63,120.1296
77,88.4,13.94,7.97,111.1018,5.7,5.39,30.723,14.28,8.72,124.5216
77,92.45,14.76,7.92,116.8992,5.37,4.87,26.1519,15.19,9.28,140.9632
91,87.2,13.86,6.76,93.6936,5.58,4.84,27.0072,13.91,8.57,119.2087
91,84.92,11.49,6.15,70.6635,4.95,3.88,19.206,13.1,6.99,91.569
91,87.28,13.01,7.05,91.7205,5.62,4.58,25.7396,11.69,6.59,77.0371
98,87.18,14.37,7.5,107.775,5.94,4.82,28.6308,14.11,9,126.99
98,84.59,13.24,7.51,99.4324,4.96,4.14,20.5344,13.81,8.7,120.147
81,91.77,14.69,7.39,108.5591,5.64,4.34,24.4776,14.11,8.65,122.0515
