A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
147.93,22.5,13.71,8.65,5.71,23.35,11.59,11.27,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
150.37,22.19,13.83,8.57,5.43,23.3,13.06,11.59,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
140.36,21.33,12.98,7.47,5.1,21.76,11.99,11,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
,21.57,13.08,7.88,5.24,22.18,,,,,Rancho La Brea,R,imm?,,Measurements probably OK,No spur,Male by size?,
140.2,20.25,13.41,7.97,5.18,22.83,11.19,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
146.5,22.21,,7.77,5.59,22.08,12.25,11.01,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?,
143.15,22.06,13.83,8.18,5.36,22.17,12.48,11.07,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?,
145.47,22.18,13.94,9.31,6.27,21.91,12.64,11.29,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?,
146.23,21.83,14.31,7.66,5.41,22.32,,,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?,
140.6,22.37,13.7,8.16,5.51,22.49,13.03,,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?,
125.81,18.84,12.12,8.13,5.26,,,,,,Rancho La Brea,R,adult,,,No spur,Female by size?,
137.26,18.6,13.15,7.46,5.02,21.89,11.31,,,,Rancho La Brea,R,adult,,,No spur,,
115.9,17.18,11.26,,4.29,18.28,9.89,9.22,,,Rancho La Brea,R,imm?,,Measurements probably OK,No spur,,
102.61,17.59,10.67,6.91,4.66,18.04,9.31,8.57,,,Rancho La Brea,R,adult,,,,,
