A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
,21.56,13.61,,,,,,,14.49,Rancho La Brea,R,adult,,,spur spongy,,
,21.14,13.27,,,,,,,18.39,Rancho La Brea,R,adult,,,spur fully developed,,
,20.19,13.24,,,,,,,15.96,Rancho La Brea,R,adult,,,spur fully developed,,
,22.61,14.13,8.85,,,,,,16.17,Rancho La Brea,R,adult,,,spur fully developed,,
,21.55,14.01,8.47,,,,,,,Rancho La Brea,R,adult,,,spur broken off,,
,22.88,14.74,9.36,,,,,,,Rancho La Brea,R,adult,,,top of spur broken off,,
,21.81,13.27,,,,,,,21.65,Rancho La Brea,R,adult,,,spur fully developed,,
,18.12,11.48,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.73,13.57,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.1,11.35,7.08,,,,,,,Rancho La Brea,R,adult,,,,,
,17.78,11.45,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.82,11.49,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.74,11.26,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.08,13.6,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.7,12.77,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.27,10.55,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.03,10.99,6.6,,,,,,,Rancho La Brea,R,adult,,,,,
,20.87,13.69,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.78,14.74,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.62,14,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.43,11.13,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.14,11.34,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.02,13.84,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,18.33,11.39,7.02,,,,,,,Rancho La Brea,R,adult,,,,,
,18.39,11.13,,,,,,,,Rancho La Brea,R,adult,,,,,
,23.01,13.34,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.38,11.79,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.72,14.01,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.42,11.71,,,,,,,,Rancho La Brea,R,adult,,,,,
,23.53,14.39,,,,,,,,Rancho La Brea,R,adult,,,,,
,19.02,11.84,,,,,,,,Rancho La Brea,R,adult,,,,,
,19.31,12.13,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.98,13.51,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.76,11.27,,,,,,,,Rancho La Brea,R,adult,,,,,
,19.58,13.46,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.94,11.66,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.85,13.32,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.88,14.7,,,,,,,,Rancho La Brea,R,adult,,,,,
,20.69,,,,,,,,17.86,Rancho La Brea,R,adult,,,spur fully developed,,
,21.96,14.79,8.53,,,,,,16.64,Rancho La Brea,R,adult,,,spur fully developed,,
,20.7,13.08,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.14,11.1,,,,,,,,Rancho La Brea,R,adult,,,,,
,,10.79,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.56,11.5,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.59,11.47,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.12,13.69,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.79,11.43,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.2,13.45,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.66,12.75,,,,,,,,Rancho La Brea,R,adult,,,,,
117.58,18.05,11.19,6.93,4.69,,,9.18,,,Rancho La Brea,R,imm?,,Measurements OK,,,
117.21,18.1,11.47,6.66,4.39,17.11,,8.23,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
115.65,18.06,11.44,7.05,4.83,18.95,9.86,9.03,,,Rancho La Brea,R,adult,,,,,
142.16,21.54,13.91,8.49,5.29,21.5,12.16,10.73,,,Rancho La Brea,R,adult,,,spur broken off?,,
143.72,20.61,13.14,8.32,5.5,21.65,12.42,10.81,,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,,4.97,18.89,10.27,9.49,,,Rancho La Brea,R,adult,,,,,
,,,,4.95,18.27,10.07,9.33,,,Rancho La Brea,R,adult,,,,,
,,,,4.54,18.65,10.25,9.76,,,Rancho La Brea,R,adult,,,,,
,,,,5.84,23.22,12.35,11.25,,,Rancho La Brea,R,adult,,,,,
,,,,4.75,19.18,10.4,9.53,,,Rancho La Brea,R,adult,,,,,
,,,,4.61,18.77,10.2,9.42,,,Rancho La Brea,R,adult,,,,,
,,,,4.92,18.33,9.86,8.93,,,Rancho La Brea,R,adult,,,,,
,,,,4.97,18.54,10.39,9.11,,,Rancho La Brea,R,adult,,,,,
,,,,5.8,21.55,12,11.02,63.4,13.11,Rancho La Brea,R,adult,,,spur broken off,,
,,,,5.14,22.21,11.28,10.65,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
,,,,5.54,21.01,12.32,9.85,,,Rancho La Brea,R,adult,,,,,
,,,,5.12,18.59,10.17,9.16,,,Rancho La Brea,R,adult,,,,,
,,,,4.66,17.44,9.84,8.92,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
,,,,5.72,22.06,11.88,10.91,,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,,4.83,18.41,,,,,Rancho La Brea,R,adult,,,,,
,,,,5.48,21.81,12.85,10.61,,,Rancho La Brea,R,adult,,,,,
,,,,5.27,20.64,11.6,10.6,,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,,4.79,19.9,10.9,10.21,66.45,11.56,Rancho La Brea,R,adult,,,spur spongy,,
,,,,4.61,18.15,9.75,9.09,,,Rancho La Brea,R,adult,,,,,
,,,,4.58,19.51,10.37,9.16,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
,,,,5.74,23.14,12.21,10.54,67.06,16.9,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,,5.83,23.16,12.89,11.43,,,Rancho La Brea,R,adult,,,,,
,,,,5.3,19.39,10.52,9.69,,,Rancho La Brea,R,adult,,,,,
,,,,6.06,23.26,12.41,11.14,,,Rancho La Brea,R,adult,,,,,
,,,,4.63,18.22,9.74,8.77,,,Rancho La Brea,R,adult,,,,,
,,,,4.61,18.96,9.54,8.99,,,Rancho La Brea,R,adult,,,,,
,,,,4.61,19.19,9.98,8.84,,,Rancho La Brea,R,adult,,,,,
,,,,5.77,21.87,11.82,10.48,63.88,23.71,Rancho La Brea,R,adult,,,spur fully developed,,
,,,,4.61,18.7,10.42,9.35,,,Rancho La Brea,R,adult,,,,,
,,,8.62,5.44,22.23,12.09,10.63,62.53,20.9,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.22,5.61,22.15,12.35,11.11,66.58,,Rancho La Brea,R,adult,,,top of spur broken off,,
,,,8.27,5.72,23.14,13.15,11.45,67.58,15.35,Rancho La Brea,R,adult,,,spur fully developed,,
,,,,6.07,22,12,10.78,63.07,20.76,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.78,5.6,22.71,12.22,10.94,62.46,22.5,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.28,5.69,22.41,12.16,11.36,71.83,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,8.46,5.57,22.15,12.18,10.81,64.58,17.48,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.76,5.74,22.34,11.65,10.51,63.17,14.26,Rancho La Brea,R,adult,,,top of spur broken off,,
,,,8.19,5.5,21.82,11.03,,66.02,14.88,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,7.97,5.51,23.25,,10.67,,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,7.65,5.33,22.6,,10.36,,14.94,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,8.84,5.73,22.88,13.05,11.11,63.98,19.6,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.17,5.61,21.88,12.07,10.82,62.87,17.47,Rancho La Brea,R,adult,,,spur fully developed,,
,,,9.42,6.19,24.32,12.57,11.69,70.15,24.05,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.57,5.65,22.86,11.75,10.94,64.49,19.32,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.01,5.31,21.28,11.56,9.94,62.23,18.71,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,9.1,6.43,22.8,12.6,11.13,64.85,,Rancho La Brea,R,adult,,,spur broken off,,
,,,7.77,5.22,19.93,,9.96,68.46,,Rancho La Brea,R,adult,,,spur broken off,,
,,,8.56,5.7,21.6,12.59,10.68,63.76,15.46,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,7.92,5.48,21.45,12.06,10.5,63.65,20.85,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.08,5.53,21.6,12.32,10.7,,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,8.64,5.72,22.86,12.4,10.69,65.35,20.16,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.04,5.56,21.43,11.8,10.37,66.5,16.63,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,7.94,5.59,21.22,11.27,10.32,59.2,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,8.03,5.31,21.89,11.65,10.84,63.79,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,,5.22,22.88,11.14,10.88,,,Rancho La Brea,R,adult,,,,,
,,,8.28,5.89,22.51,11.6,10.52,61.69,20.23,Rancho La Brea,R,adult,,,spur fully developed,,
,,,7.17,4.52,18.57,10.45,9.34,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,8.72,5.84,23.44,12.88,11.17,70.79,17.24,Rancho La Brea,R,adult,,,top of spur broken off,,
,,,8.7,5.76,22.92,12.65,11.1,66.31,16.18,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,8.85,5.88,22.71,13.11,10.97,63.61,13.76,Rancho La Brea,R,adult,,,spur spongy,,
,,,8.32,6.03,23.2,12.2,11.2,63.07,15.05,Rancho La Brea,R,adult,,,spur spongy,,
,,,8.87,5.67,21.93,,,63.14,,Rancho La Brea,R,adult,,,spur=little bump,,
,,,9.44,5.89,23.85,13.47,11.27,62.57,22.1,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.9,5.9,22.02,11.77,10.54,61.67,18.79,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.21,5.34,22.56,11.87,11.45,62.41,15.36,Rancho La Brea,R,adult,,,spur spongy,,
,,,9.24,5.95,22.24,12.55,10.86,64.14,21.55,Rancho La Brea,R,adult,,,spur fully developed,,
,,,7.19,4.95,18.44,10.37,8.82,,,Rancho La Brea,R,adult,,,,,
,,,7.13,4.9,18.45,9.87,8.74,,,Rancho La Brea,R,adult,,,,,
,,,6.71,4.77,18.71,10.46,8.9,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,7.46,5.22,19.44,10.97,9.55,,,Rancho La Brea,R,adult,,,,,
,,,7.23,4.77,19.61,10.45,9.6,,,Rancho La Brea,R,adult,,,,,
,,,,4.35,19.12,10.2,9.3,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,5.18,22.13,11.5,10.61,,,Rancho La Brea,R,adult,,,,,
,,,8.63,5.67,23.88,12.77,11.29,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,7.86,5.13,21.44,11.7,10.43,,,Rancho La Brea,R,adult,,,,,
,,,,4.39,18.03,9.93,8.97,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,7.99,5.16,24.06,12.8,11.8,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,5.82,23,12.9,11.91,,,Rancho La Brea,R,adult,,,,,
,,,7.41,5,19.13,9.6,9.32,,,Rancho La Brea,R,adult,,,,,
,,,,5.09,19.01,10.41,9.5,,,Rancho La Brea,R,adult,,,,,
,,,7.3,4.63,19.26,10.07,9.43,,,Rancho La Brea,R,adult,,,,,
,,,6.66,4.48,18.3,10.22,8.95,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,6.56,4.76,18.59,10.63,9.24,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,5.87,22.45,12.16,11.41,,,Rancho La Brea,R,adult,,,,,
,,,,6.19,23.42,12.85,11.46,,,Rancho La Brea,R,adult,,,,,
,,,7.68,5.11,19.27,11.04,9.81,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,4.91,18.2,10.24,9.19,,,Rancho La Brea,R,adult,,,,,
,,,6.52,4.66,17.3,9.35,8.87,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,4.8,19.34,10.56,9.72,,,Rancho La Brea,R,adult,,,,,
,,,,5.56,22.07,12.01,10.64,,,Rancho La Brea,R,adult,,,,,
,,,,5.8,22.34,12.22,11.05,,,Rancho La Brea,R,adult,,,,,
115.82,17.57,11.56,7.22,4.79,18.46,,,,,Rancho La Brea,R,adult,,,,,
114.56,17.3,11.2,,4.61,18.12,9.84,,,,Rancho La Brea,R,adult,,,,,
120.19,18.19,11.28,7.09,4.81,18.7,10.18,8.8,,,Rancho La Brea,R,adult,,,,,
115.69,19.12,10.97,7.21,4.86,18.38,10.01,9.03,,,Rancho La Brea,R,adult,,,,,
139.55,19.29,11.95,8.01,5.29,20.59,10.29,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
119.61,17.97,11.4,7.15,4.91,18.1,10.84,9.33,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,21.36,13.32,7.88,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,,
,18.89,11.94,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.44,12.16,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.97,11.16,,,,,,,,Rancho La Brea,R,adult,,,,,
,18.77,13.37,,,,,,,13.89,Rancho La Brea,R,adult,,,spur spongy,,
,21.42,14.53,8.35,,,,,,18.29,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,13.52,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.43,13.61,,,,,,,,Rancho La Brea,R,adult,,,,,
,22.02,13.87,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,7.4,4.61,18.85,9.92,9.15,,,Rancho La Brea,R,adult,,,,,
,,,6.57,4.46,18.49,10.77,9.45,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,8.96,5.89,22.13,12.08,10.98,64.54,19.38,Rancho La Brea,R,adult,,,spur fully developed,,
,,,8.58,5.64,21.63,12.27,10.8,65.08,16.62,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,7.01,4.94,18.98,10.24,9.11,,,Rancho La Brea,R,adult,,,,,
,,,6.8,4.86,17.89,10.15,9.05,,,Rancho La Brea,R,adult,,,,,
,,,6.66,4.45,17.62,10.06,8.93,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,5.65,20.04,,10.41,,,Rancho La Brea,R,adult,,,,,
,,,7.4,5.02,18.48,10.48,9.32,,,Rancho La Brea,R,adult,,,,,
113.52,18.74,11.25,6.92,4.97,18.22,9.89,9.25,,,Rancho La Brea,R,adult,,,,,
148.43,24.15,14.18,9.49,6.01,23.25,12.91,11.59,67,13.65,Rancho La Brea,R,adult,,,spur spongy,,
,18.97,11.93,,,,,,,,Rancho La Brea,R,adult,,,,,
,19.12,11.55,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.05,11.39,,,,,,,,Rancho La Brea,R,adult,,,,,
,17.32,10.67,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,,
,,,,4.66,18.04,9.71,8.62,,,Rancho La Brea,R,adult,,,,,
,,,,4.5,,,8.44,,,Rancho La Brea,R,adult,,,,,
,,,8.98,6.15,22.47,13.24,11.49,66.1,,Rancho La Brea,R,adult,,,top of spur broken off,,
115.44,18.24,11.46,7.4,,,,8.66,,,Rancho La Brea,R,adult,,,,,
,,,,4.72,18.53,,9.12,,,Rancho La Brea,L,adult,,,,,
,,,,4.64,18.11,9.18,,,,Rancho La Brea,R,adult,,,,,
,19.58,11.92,,,,,,,,Rancho La Brea,R,adult,,,,,
110.06,17.84,11.54,6.41,4.51,,,,,,Rancho La Brea,L,imm?,,Measurements OK,,,
144.49,,13.26,8.46,5.65,22.26,12.04,10.91,66.99,15.85,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,,
,,,,4.46,18.33,9.96,,,,Rancho La Brea,R,adult,,,,,
,,,7.32,4.74,19.06,10.18,8.99,,,Rancho La Brea,L,adult,,,,,
,,,8.04,5.44,21.39,11.37,10.48,,,Rancho La Brea,R,adult,,,spur=little bump, broken off,
,,,6.69,4.65,17.84,9.64,9.02,,,Rancho La Brea,L,adult,,,,,
,,,,4.61,18.26,10.13,9.33,,,Rancho La Brea,L,adult,,,,,
,21.95,13.36,,,,,,,,Rancho La Brea,R,adult,,,,,
,21.03,13.78,8.44,,,,,,13.64,Rancho La Brea,L,adult,,,top of spur broken off,,
,21.64,13.37,8.59,,,,,,,Rancho La Brea,L,adult,,,spur broken off,,
,17.37,11.48,,,,,,,,Rancho La Brea,L,adult,,,,,
,18.15,11.26,,,,,,,,Rancho La Brea,L,adult,,,,,
,,,,4.81,17.51,9.57,8.71,,,Rancho La Brea,R,adult,,,,,
120.95,17.97,11.12,6.94,4.48,17.52,9.6,8.85,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
137.85,22.04,13.11,8.83,5.82,22.53,12.73,10.88,66.67,18.4,Rancho La Brea,L,adult,,,spur fully developed,,
141.47,19.98,12.56,8.01,5.45,21.4,11.33,,,,Rancho La Brea,R,adult,,,"there is a spot where spur could have been, but it is unsure if spur was present",,
114.75,17.27,,7.27,,19.36,10.56,9.48,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,,,6.53,4.56,18.86,10.17,9.29,,,Rancho La Brea,R,imm?,,Measurements OK,,,
113,17.37,11.19,7.25,4.74,18.96,10.28,9.42,,,Rancho La Brea,L,adult,,,,,
120.94,,11.62,6.91,4.57,18.65,10.25,8.97,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
,,,,,,,,,,Rancho La Brea,R,adult,,,,,
,,,,5.67,22.46,12.25,10.92,,,Rancho La Brea,L,adult,,,,,
139.57,21.31,14.05,8.7,6.12,21.51,12.45,10.73,65.31,13.4,Rancho La Brea,L,adult,,,top of spur broken off,,
,,,8.9,,,,,,28.94,Rancho La Brea,R,adult,,,spur fully developed, very long and sharp!,
