PIT,LENGTH,PROX.W,MID.W,MID.D,DIST.W
60,101,22,12,10,26
61,102,22,11,11,24
61,99,21,11,10,23
61,95,20,11,10,23
61,97,19,10,9,23
67,99,20,10,10,22
67,97,19,11,9,23
77,97,21,11,11,23
77,103,23,12,11,26
81,97,19,11,8,22
81,95,21,11,10,23
81,98,23,12,10,25
81,97,21,11,10,25
91,95,20,11,10,23
