AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
0,57.4,9.2,7.4,68.08,1.186062718
0,60.1,8,7,56,0.931780366
0,60.2,9.4,7.5,70.5,1.171096346
0,60.5,8.7,6,52.2,0.862809917
0,60,7.4,5.2,38.48,0.641333333
0,58,8.3,6,49.8,0.85862069
0,57.5,7.8,6.5,50.7,0.88173913
0,62.3,6.7,6,40.2,0.645264848
0,60,7.5,6.8,51,0.85
0,61.5,7.8,6.7,52.26,0.849756098
0,61,8.2,6.5,53.3,0.873770492
0,64,7.6,6.8,51.68,0.8075
0,61,7,6,42,0.68852459
0,61,6.1,5.7,34.77,0.57
0,60.6,7.8,6.3,49.14,0.810891089
0,60.2,8,6.3,50.4,0.837209302
0,56,7.7,6,46.2,0.825
0,56,7.5,6,45,0.803571429
0,59,8,7.3,58.4,0.989830508
0,57.4,8.3,6.7,55.61,0.968815331
0,58,7.5,6.1,45.75,0.788793103
0,53.5,9.6,6.1,58.56,1.094579439
0,55.9,8.5,6,51,0.91234347
0,59.5,7.5,6,45,0.756302521
0,59.3,7.1,6.2,44.02,0.74232715
0,59.5,7.7,6.7,51.59,0.867058824
0,59.7,7.5,6,45,0.753768844
0,57.6,6,4.8,28.8,0.5
