"catno","pit","length","midwidth","middepth","distwidth"
NA,"13",98,17,13,25
NA,"13",100,15,14,25
NA,"13",94,17,14,24
NA,"13",93,17,13,25
NA,"13",95,15,13,24
NA,"13",97,15,13,24
NA,"13",109,18,15,25
NA,"13",92,17,14,23
NA,"13",102,19,15,27
NA,"13",100,16,13,26
NA,"13",98,16,14,25
NA,"13",100,15,13,25
NA,"13",90,16,14,22
NA,"13",92,15,14,24
NA,"13",94,15,13,23
NA,"13",94,15,13,23
NA,"13",93,15,12,23
NA,"13",94,14,13,24
NA,"13",90,16,13,25
NA,"13",94,15,12,22
NA,"13",90,14,13,24
NA,"13",110,18,15,26
NA,"13",100,18,15,26
NA,"13",98,17,14,24
NA,"13",95,17,14,24
NA,"13",93,13,12,22
NA,"13",93,13,12,23
NA,"13",93,16,14,24
NA,"13",91,16,12,24
NA,"13",95,15,13,23
NA,"13",106,16,13,26
NA,"13",102,17,13,26
NA,"13",93,16,14,23
NA,"13",97,19,15,25
NA,"17",97,18,16,25
NA,"60",96,16,15,23
NA,"60",94,17,14,26
NA,"60",98,18,16,26
NA,"60",87,15,13,23
NA,"60",84,15,14,23
NA,"60",92,17,14,23
NA,"60",93,17,14,25
NA,"60",92,16,13,25
NA,"60",96,17,15,24
NA,"60",103,17,16,27
NA,"60",93,17,13,25
NA,"60",93,17,15,24
NA,"60",91,15,14,23
NA,"60",90,15,13,23
NA,"60",92,16,14,24
NA,"60",89,17,13,26
NA,"60",89,15,12,24
NA,"60",98,16,13,26
NA,"60",90,16,14,23
NA,"60",88,16,14,23
NA,"60",115,19,15,28
NA,"60",103,21,16,19
NA,"60",101,18,14,27
NA,"60",100,18,14,26
NA,"67",103,18,14,26
NA,"67",102,19,14,27
NA,"67",99,18,16,26
NA,"67",105,19,17,27
NA,"67",104,17,14,26
NA,"67",105,19,15,29
NA,"67",99,17,13,25
NA,"67",95,15,14,23
NA,"67",97,17,14,25
NA,"67",91,17,14,24
NA,"67",95,17,14,26
NA,"67",90,16,13,24
NA,"67",97,18,15,26
NA,"67",99,19,15,27
NA,"67",102,19,16,28
NA,"67",96,17,13,26
NA,"67",97,17,13,25
NA,"67",97,17,13,25
NA,"67",95,16,14,24
NA,"67",97,17,14,25
NA,"67",90,14,12,23
NA,"67",107,17,15,26
NA,"67",96,17,14,23
NA,"67",93,15,13,24
NA,"67",92,16,13,24
NA,"67",93,16,14,25
NA,"67",86,15,13,23
NA,"67",99,18,15,26
NA,"67",100,20,14,27
NA,"67",97,17,14,26
NA,"67",104,17,14,26
NA,"67",97,17,15,26
NA,"67",94,17,15,28
NA,"67",98,19,15,26
NA,"67",99,18,14,26
NA,"67",105,17,14,26
NA,"67",102,17,13,27
NA,"67",92,17,14,26
NA,"67",97,17,14,26
